key,ko,en,fr,it,de,es,ja,pt-BR,ru,zh-Hans
p,시원해서 일하기 딱 좋아요.,It's perfect for working because it's cool.,"C'est parfait pour travailler, c'est rafraîchissant.",È perfetto per lavorare perché è fresco.,"Es ist perfekt zum Arbeiten, weil es kühl ist.",Es perfecto para trabajar porque es fresco.,涼しいから働きやすいんです。,É perfeito para trabalhar porque é fresco.,Так даже удобнее работать - прохладно.,"凉凉的, 工作起来正合适。"
e,...그래. 네가 그 상태를 잘 유지해야 마을도 조용해질 게다.,"...Yes. As long as you stay that way, the village will remain peaceful.","...Oui. Tant que tu restes ainsi, le village restera paisible.","...Già. Finché rimani così, il villaggio resterà tranquillo.","...Ja. Solange du so bleibst, wird das Dorf friedlich bleiben.","...Sí. Mientras sigas así, el pueblo permanecerá en paz.",...そうか。お前がその状態を保ってくれれば、村も静かなままだろう。,"...Sim. Enquanto você permanecer assim, a vila continuará em paz.","...Да. Пока ты остаёшься таким, деревня будет спокойна.","...是啊。只要你保持这个状态, 村子就能继续安宁下去。"
e,일단 안전한 곳으로 가자. 여긴 너무 위험해.,Let's head somewhere safe first. It's too dangerous here.,Allons d'abord dans un endroit sûr. C'est trop dangereux ici.,Andiamo prima in un posto sicuro. Qui è troppo pericoloso.,Gehen wir erst einmal an einen sicheren Ort. Es ist zu gefährlich hier.,Vayamos primero a un lugar seguro. Es demasiado peligroso aquí.,まずは安全な場所へ行こう。ここは危険すぎる。,Vamos primeiro para um lugar seguro. Aqui é perigoso demais.,Сначала пойдём в безопасное место. Здесь слишком опасно.,"先去安全的地方吧, 这里太危险了。"
T,**,**,**,**,**,**,**,**,**,**




T,********************************************2. 마을에서 촌장과의 대화*******************************************
p,"촌장님, 여기가 그나마 제일 안전해 보여요.","Chief, this place looks the safest for now.","Chef, cet endroit semble être le plus sûr pour le moment.","Capo, questo posto sembra il più sicuro per ora.","Chef, dieser Ort sieht im Moment am sichersten aus.","Jefe, este lugar parece el más seguro por ahora.",村長さん、ここが今のところ一番安全そうです。,"Chefe, este lugar parece ser o mais seguro por enquanto.","Староста, это место пока выглядит самым безопасным.","村长, 这里现在看起来是最安全的地方。"
p,"연구실이 다 무너졌는데, 제가 금방 새로 지어드릴게요!","The lab has completely collapsed, but I'll rebuild it for you right away!","Le laboratoire s'est complètement effondré, mais je vais le reconstruire tout de suite !","Il laboratorio è completamente crollato, ma lo ricostruirò subito per lei!","Das Labor ist komplett eingestürzt, aber ich baue es sofort wieder auf!","¡El laboratorio se derrumbó por completo, pero lo reconstruiré enseguida!",研究室は全部崩れちゃいましたけど、僕がすぐ建て直します！,"O laboratório desabou completamente, mas eu vou reconstruí-lo rapidinho!","Лаборатория полностью разрушена, но я быстро построю новую!","研究室全塌了, 不过我马上会帮您重新建好的！"
e,"(주변을 둘러보며) 허허, 이 난리통에 내 연구실부터 챙겨주는 거냐.","(Looking around) Heh heh, in the middle of all this chaos, you're worrying about my lab first?","(Regardant autour) Hé hé, au milieu de tout ce chaos, tu t'inquiètes d'abord de mon laboratoire ?","(Guardandosi intorno) Ah ah, in mezzo a tutto questo caos ti preoccupi prima del mio laboratorio?","(Schaut sich um) Hehe, in diesem Chaos sorgst du dich zuerst um mein Labor?","(Mirando alrededor) Jeje, ¿en medio de todo este caos te preocupas primero por mi laboratorio?",（周囲を見回しながら）はっはっ、この大騒ぎの中でまずわしの研究室を気にするのか。,"(Olhando em volta) Hehe, no meio de toda essa confusão, você está preocupado primeiro com o meu laboratório?","(Осматриваясь вокруг) Хе-хе, среди всего этого хаоса ты первым делом беспокоишься о моей лаборатории?","（环顾四周）呵呵, 都这种情况了, 你居然先担心我的研究室吗。"
p,당연하죠!,Of course!,Bien sûr !,Certo!,Natürlich!,¡Por supuesto!,もちろんです！,Claro!,Конечно!,当然了！
p,촌장님이 연구를 하셔야 마을이 돌아가잖아요.,"The village can only function if you continue your research, Chief.","Le village ne peut fonctionner que si vous continuez vos recherches, Chef.","Il villaggio può andare avanti solo se lei continua le sue ricerche, Capo.","Das Dorf kann nur funktionieren, wenn Sie weiterforschen, Chef.","El pueblo solo puede seguir adelante si usted continúa investigando, jefe.",村長さんが研究を続けないと、村は回りませんから。,"A vila só funciona se o senhor continuar suas pesquisas, chefe.","Деревня сможет жить дальше, только если вы продолжите свои исследования, староста.","只有村长您继续研究, 村子才能运转下去。"
e,(작게 웃으며) 네가 아직도 그렇게 생각해 주는구나.,(Smiles faintly) So you still think that way.,(Sourit légèrement) Alors tu penses encore comme ça.,(Sorride leggermente) Quindi la pensi ancora così.,(Lächelt leicht) Du denkst also immer noch so.,(Sonríe levemente) Así que todavía piensas de esa manera.,（小さく笑いながら）お前はまだそう思ってくれているんだな。,(Sorri de leve) Então você ainda pensa assim.,"(Слегка улыбаясь) Значит, ты всё ещё так думаешь.",（轻轻一笑）原来你现在还是这么想的啊。
e,고맙다. 네가 모아온 광석들이라면 금방 세울 수 있겠어.,"Thank you. With the ores you've gathered, we should be able to rebuild it quickly.","Merci. Avec les minerais que tu as rassemblés, nous pourrons vite le reconstruire.","Grazie. Con i minerali che hai raccolto, potremo ricostruirlo in fretta.","Danke. Mit den Erzen, die du gesammelt hast, können wir es schnell wieder aufbauen.","Gracias. Con los minerales que has reunido, podremos reconstruirlo rápidamente.",ありがとう。お前が集めてきた鉱石があれば、すぐ建て直せそうだ。,"Obrigado. Com os minérios que você reuniu, conseguiremos reconstruí-lo rapidinho.","Спасибо. С рудой, которую ты собрал, мы быстро всё восстановим.","谢谢。有你收集来的矿石, 应该很快就能重建起来。"
p,"네! 촌장님 계실 곳부터 만들고, 다른 분들도 다 모셔올게요.","Yes! I'll first build a place for you to stay, then I'll bring everyone else too.","Oui ! Je vais d'abord construire un endroit pour vous, puis je ramènerai aussi tout le monde.","Sì! Costruirò prima un posto per lei, poi porterò anche tutti gli altri.","Ja! Ich baue zuerst einen Ort für Sie, dann hole ich auch die anderen her.",¡Sí! Primero construiré un lugar para usted y luego traeré también a los demás.,はい！まず村長さんの居場所を作って、それからみんなも連れてきます。,"Sim! Primeiro vou construir um lugar para o senhor ficar, depois vou trazer todo mundo.","Да! Сначала я построю место для вас, а потом приведу и остальных.","好的！我先帮您建住的地方, 然后再把大家都带过来。"
e,그래.,Alright.,D'accord.,Bene.,Gut.,Está bien.,そうか。,Certo.,Хорошо.,好。
e,이곳에서 다시 마을을 세워 가는 거다.,We will rebuild the village here.,Nous allons reconstruire le village ici.,Ricostruiremo il villaggio qui.,Wir werden das Dorf hier wieder aufbauen.,Reconstruiremos el pueblo aquí.,ここで再び村を築いていくのだ。,Vamos reconstruir a vila aqui.,Мы заново построим деревню здесь.,我们要在这里重新建立村庄。
e,네가 주민들을 데려오고 거처를 마련해줄 때마다...,Whenever you bring back villagers and prepare shelters for them...,Chaque fois que tu ramèneras des habitants et prépareras des abris pour eux...,Ogni volta che porterai qui gli abitanti e preparerai un rifugio per loro...,"Jedes Mal, wenn du Bewohner zurückbringst und Unterkünfte vorbereitest...",Cada vez que traigas a los aldeanos y prepares refugios para ellos...,お前が住民たちを連れてきて、住む場所を用意してくれるたびに...,Sempre que você trouxer os moradores e preparar um lugar para eles ficarem...,"Каждый раз, когда ты будешь приводить жителей и готовить им жильё...",每当你带回居民并为他们准备住处时......
e,나도 지반을 다져서 광산의 더 깊은 곳을 열어주마.,I will reinforce the ground and open the deeper parts of the mine.,Je renforcerai le sol et ouvrirai les parties plus profondes de la mine.,Consoliderò il terreno e aprirò le parti più profonde della miniera.,Ich werde den Boden verstärken und die tieferen Bereiche der Mine öffnen.,Reforzaré el terreno y abriré las partes más profundas de la mina.,わしも地盤を固めて、鉱山のさらに深い場所を開いてやろう。,Eu também vou reforçar o terreno e abrir as partes mais profundas da mina.,Я тоже укреплю землю и открою более глубокие части шахты.,"我也会加固地基, 帮你打开矿山更深处的区域。"
p,좋아요! 그럼 바로 시작할게요!,Sounds good! Then I'll get started right away!,Très bien ! Alors je vais commencer tout de suite !,Perfetto! Allora comincio subito!,Klingt gut! Dann fange ich sofort an!,¡Perfecto! ¡Entonces empezaré de inmediato!,わかりました！じゃあ、すぐ始めます！,Perfeito! Então vou começar agora mesmo!,Хорошо! Тогда я начну прямо сейчас!,好！那我马上开始！
e,...그래. 너무 서두르지는 마라.,...Alright. Just don't rush too much.,...D'accord. Mais ne te précipite pas trop.,...Bene. Ma non avere troppa fretta.,...Gut. Aber überstürze nichts.,...Está bien. Pero no te apresures demasiado.,...そうか。だが、あまり無理はするな。,...Certo. Mas não se apresse demais.,...Хорошо. Только не слишком торопись.,......好。不过别太勉强自己。
e,몸 잘 챙기고.,Take good care of yourself.,Prends bien soin de toi.,Abbi cura di te.,Pass gut auf dich auf.,Cuídate bien.,身体には気をつけるんだぞ。,Cuide-se bem.,Береги себя.,照顾好自己。
T,**,**,**,**,**,**,**,**,**,**


T,********************************************3. 칸 구조*******************************************
p,칸 아저씨!,Mr. Khan!,Monsieur Khan !,Signor Khan!,Herr Khan!,¡Señor Khan!,カーンおじさん！,Senhor Khan!,Дядя Кан!,坎大叔！
p,정신이 드세요?,Are you awake?,Vous avez repris connaissance ?,Si è ripreso?,Sind Sie bei Bewusstsein?,¿Está consciente?,気がつきましたか？,Você está consciente?,Вы пришли в себя?,您清醒了吗？
k,"(먼지를 털며 무거운 장비를 밀어내고 일어난다) ...아, 피코냐.","(Brushes off dust, pushes aside heavy equipment, and stands up) ...Ah, Pico.","(Enlevant la poussière et repoussant un lourd équipement, il se relève) ...Ah, Pico.","(Si scrolla la polvere di dosso, spinge via l'attrezzatura pesante e si alza) ...Ah, Pico.","(Klopft den Staub ab, schiebt schweres Gerät zur Seite und steht auf) ...Ah, Pico.","(Sacudiéndose el polvo y apartando el equipo pesado, se levanta) ...Ah, Pico.",（埃を払いながら重い機材を押しのけて立ち上がる）...ああ、ピコか。,"(Sacudindo a poeira e empurrando o equipamento pesado para o lado, se levanta) ...Ah, Pico.","(Стряхивая пыль и отталкивая тяжёлое оборудование, поднимается) ...А, Пико.","（拍掉身上的灰尘, 推开沉重设备后站起身）...啊, 是皮科啊。"
k,귀찮게 됐군. 연장들이 다 엉망이야.,What a mess. All my tools are ruined.,Quel bazar. Tous mes outils sont fichus.,Che seccatura. Tutti gli attrezzi sono rovinati.,So ein Ärger. Alle meine Werkzeuge sind hinüber.,Qué fastidio. Todas mis herramientas quedaron destrozadas.,面倒なことになったな。道具が全部めちゃくちゃだ。,Que problema. Todas as minhas ferramentas estão destruídas.,Вот ведь неприятность. Все инструменты испорчены.,"真麻烦啊, 工具全都乱套了。"
p,어디 다치신 곳은 없으세요?,Are you hurt anywhere?,Vous n'êtes pas blessé quelque part ?,Si è fatto male da qualche parte?,Haben Sie sich irgendwo verletzt?,¿Está herido en alguna parte?,どこか怪我してませんか？,Você se machucou em algum lugar?,Вы нигде не ранены?,您哪里受伤了吗？
k,(자기 팔꿈치를 만져보며) ...뼈마디가 좀 쑤시는군.,(Touches his elbow) ...My joints ache a bit.,(Touche son coude) ...Mes articulations me font un peu mal.,(Si tocca il gomito) ...Mi fanno un po' male le articolazioni.,(Berührt seinen Ellbogen) ...Meine Gelenke schmerzen etwas.,(Se toca el codo) ...Me duelen un poco las articulaciones.,（自分の肘に触れながら）...関節が少し痛むな。,(Tocando o próprio cotovelo) ...Minhas articulações estão doendo um pouco.,(Трогая локоть) ...Суставы немного ломит.,（摸了摸自己的手肘）...关节有点酸痛啊。
k,움직이는 데는 문제없다.,But I can still move fine.,Mais je peux encore bouger sans problème.,Ma riesco ancora a muovermi senza problemi.,Aber bewegen kann ich mich noch problemlos.,Pero puedo moverme sin problemas.,動く分には問題ない。,Mas consigo me mover sem problemas.,Но двигаться я могу без проблем.,不过行动倒是没问题。
p,다들 모일 곳을 마련했어요. 거기로 가요.,I've prepared a place where everyone can gather. Let's go there.,J'ai préparé un endroit où tout le monde peut se rassembler. Allons-y.,Ho preparato un posto dove tutti possono riunirsi. Andiamo lì.,"Ich habe einen Ort vorbereitet, an dem sich alle versammeln können. Gehen wir dorthin.",Preparé un lugar donde todos pueden reunirse. Vamos para allá.,みんなが集まれる場所を用意しました。そこへ行きましょう。,Preparei um lugar onde todos podem se reunir. Vamos para lá.,"Я подготовил место, где все смогут собраться. Пойдём туда.","我已经准备好了大家集合的地方, 我们过去吧。"
p,제가 부축해 드릴게요.,I'll help support you.,Je vais vous aider à marcher.,La aiuterò io.,Ich stütze Sie.,Yo lo ayudaré a caminar.,僕が支えます。,Vou ajudá-lo a andar.,Я вас поддержу.,我来扶您。
k,(피코의 어깨를 짚다 손바닥에 닿는 감촉에 잠깐 멈칫한다) ...가만있어 봐.,"(Places a hand on Pico's shoulder, then pauses briefly at the sensation against his palm) ...Hold still.",(Pose la main sur l'épaule de Pico puis s'arrête un instant en sentant quelque chose) ...Ne bouge pas.,"(Appoggia la mano sulla spalla di Pico, poi si ferma un attimo sentendo il contatto) ...Aspetta un attimo.",(Legt eine Hand auf Picos Schulter und hält wegen des Gefühls kurz inne) ...Bleib kurz still.,(Pone una mano sobre el hombro de Pico y se detiene un momento por la sensación en su palma) ...Quédate quieto.,（ピコの肩に手を置き、掌に伝わる感触に一瞬動きを止める）...ちょっと待て。,(Coloca a mão no ombro de Pico e para por um instante ao sentir algo na palma) ...Espere um pouco.,(Кладёт руку на плечо Пико и на миг замирает от ощущения в ладони) ...Подожди.,"（把手搭在皮科肩上, 却因掌心传来的触感短暂停住）...等等。"
p,왜요? 어디 많이 아프세요?,Why? Are you badly hurt somewhere?,Pourquoi ? Vous avez très mal quelque part ?,Perché? Si è fatto molto male?,Warum? Haben Sie starke Schmerzen irgendwo?,¿Por qué? ¿Le duele mucho alguna parte?,どうしたんですか？どこかかなり痛むんですか？,Por quê? Está doendo muito em algum lugar?,Почему? У вас что-то сильно болит?,怎么了？哪里很疼吗？
k,"(피코의 등 쪽을 살피려다 황급히 손을 떼며) ...아니, 됐다.","(Starts checking Pico's back, then quickly pulls his hand away) ...No, never mind.","(Commence à regarder le dos de Pico puis retire vite sa main) ...Non, laisse tomber.","(Prova a controllare la schiena di Pico, poi ritira rapidamente la mano) ...No, lascia stare.","(Will Picos Rücken ansehen, zieht seine Hand aber hastig zurück) ...Nein, schon gut.","(Intenta revisar la espalda de Pico pero aparta rápidamente la mano) ...No, olvídalo.",（ピコの背中を確認しかけて、慌てて手を離す）...いや、何でもない。,"(Tenta examinar as costas de Pico, mas afasta a mão rapidamente) ...Não, deixa pra lá.","(Пытается осмотреть спину Пико, но поспешно убирает руку) ...Нет, ничего.","（正想查看皮科背后, 却慌忙把手收回）...不, 没什么。"
k,지금은 열이 안 나는군.,You're not giving off heat right now.,Tu ne dégages pas de chaleur pour le moment.,Al momento non emani calore.,Im Moment strahlst du keine Hitze aus.,Ahora mismo no desprendes calor.,今は熱が出ていないな。,Você não está emitindo calor agora.,Сейчас от тебя не исходит жар.,现在没有发热啊。
p,전 원래 땀도 안 흘리고 쌩쌩해요!,I never sweat and I'm always full of energy!,Je ne transpire jamais et je suis toujours en pleine forme !,Io non sudo mai e sto sempre benissimo!,Ich schwitze nie und bin immer topfit!,¡Yo nunca sudo y siempre estoy lleno de energía!,僕はもともと汗もかかないし元気いっぱいですよ！,Eu nunca suo e estou sempre cheio de energia!,Я вообще не потею и всегда бодрый!,"我本来就不会流汗, 而且一直精神满满！"
p,일단 올라가요.,Let's head up first.,Allons d'abord là-haut.,Andiamo su prima.,Gehen wir erst einmal nach oben.,Subamos primero.,とりあえず上に行きましょう。,Vamos subir primeiro.,Для начала пойдём наверх.,先上去吧。
T,**,**,**,**,**,**,**,**,**,**




T,********************************************4. 마을에서 칸과의 대화*******************************************
p,"아저씨, 여기라면 대장간을 새로 지을 수 있을 것 같아요!","Sir, I think we can rebuild the forge here!","Monsieur, je pense qu'on peut reconstruire la forge ici !","Signore, penso che possiamo ricostruire la forgia qui!",Hier koennen wir die Schmiede neu aufbauen!,"¡Senor, creo que podemos reconstruir la herreria aqui!",おじさん、ここなら鍛冶場を建て直せそうです！,"Senhor, acho que podemos reconstruir a forja aqui!","Дядя, думаю, здесь можно заново построить кузницу!","大叔, 我觉得这里可以重新建铁匠铺！"
k,"(빈터를 훑어보며) 흥, 재료도 없는데 무슨 수로 건물을 세워.","(Looks over the empty ground) Hmph, how are you going to build anything without materials?","(Observe le terrain vide) Hmpf, comment comptes-tu construire sans materiaux ?","(Guarda il terreno vuoto) Hmm, come pensi di costruire senza materiali?","(Sieht sich das leere Gelaende an) Hmpf, wie willst du ohne Material etwas bauen?","(Mira el terreno vacio) Hmph, ¿como piensas construir sin materiales?",（空き地を見渡しながら）ふん、材料もないのにどうやって建てるんだ。,"(Olha para o terreno vazio) Hmph, como vai construir sem materiais?","(Осматривает пустое место) Хм, и как ты собираешься строить без материалов?","（扫视空地）哼, 没有材料你打算怎么盖？"
p,걱정 마세요! 제가 광산에서 광석을 잔뜩 모아올게요.,Don't worry! I'll gather tons of ore from the mine!,Ne vous inquietez pas ! Je vais ramener plein de minerais de la mine !,Non si preoccupi! Raccogliero un sacco di minerali dalla miniera!,Keine Sorge! Ich bringe jede Menge Erz aus der Mine!,¡No se preocupe! ¡Traere muchisimo mineral de la mina!,心配しないでください！僕が鉱山で鉱石をたくさん集めてきます！,Nao se preocupe! Vou trazer muito minerio da mina!,Не волнуйтесь! Я принесу много руды из шахты!,别担心！我会从矿山里带很多矿石回来！
p,아저씨가 일할 수 있게 제가 건물을 지어드릴게요.,I'll build the workshop so you can work again.,Je vais construire l'atelier pour que vous puissiez retravailler.,Costruirò l'officina cosi potra lavorare di nuovo.,"Ich baue die Werkstatt, damit Sie wieder arbeiten koennen.",Construire el taller para que pueda volver a trabajar.,おじさんが働けるように、僕が建物を建てます。,Vou construir o edificio para que voce possa trabalhar de novo.,"Я построю мастерскую, чтобы вы снова могли работать.","我会帮您把建筑盖好, 让您能重新工作。"
k,(피코를 물끄러미 보다가) ...네가?,(Stares silently at Pico) ...You?,(Regarde Pico en silence) ...Toi ?,(Fissa Pico in silenzio) ...Tu?,(Schaut Pico schweigend an) ...Du?,(Mira fijamente a Pico) ...¿Tu?,（ピコをじっと見つめながら）...お前が？,(Olha fixamente para Pico) ...Voce?,(Молча смотрит на Пико) ...Ты?,（默默盯着皮科）......你？
k,"뭐, 좋을 대로 해라.","Well, do whatever you want.","Bon, fais comme tu veux.","Beh, fai come ti pare.","Na gut, mach wie du willst.","Bueno, haz lo que quieras.",まあ、好きにしろ。,"Bem, faca como quiser.","Ну, делай как хочешь.",随你喜欢吧。
k,제대로 된 모루랑 불꽃만 있으면...,As long as I have a proper anvil and furnace...,Tant que j'ai une bonne enclume et du feu...,Se ho una buona incudine e una forgia decente...,Solange ich einen richtigen Amboss und Feuer habe...,Mientras tenga un buen yunque y fuego...,まともな金床と火さえあれば...,Desde que eu tenha uma boa bigorna e fogo...,Если у меня будут нормальная наковальня и огонь...,只要有像样的铁砧和炉火......
k,네 곡괭이도 훨씬 쓸만하게 만들어줄 테니.,I can make your pickaxe much better too.,Je pourrai aussi rendre ta pioche bien meilleure.,Potro rendere anche il tuo piccone molto migliore.,Dann kann ich auch deine Spitzhacke viel besser machen.,Tambien podre mejorar mucho tu pico.,お前のツルハシももっと使いやすくしてやる。,Tambem posso melhorar bastante sua picareta.,Я смогу сделать твою кирку намного лучше.,你的镐子我也能帮你打造得更好。
p,진짜요? 금방 재료 구해올게요!,Really? I'll go gather the materials right away!,Vraiment ? Je vais chercher les materiaux tout de suite !,Davvero? Vado subito a prendere i materiali!,Wirklich? Ich hole sofort die Materialien!,¿De verdad? ¡Ire a buscar los materiales ahora mismo!,本当ですか？すぐ材料を集めてきます！,Serio? Vou buscar os materiais agora mesmo!,Правда? Тогда я сейчас же принесу материалы!,真的吗？我马上去收集材料！
k,그래. 여기서 기다리마.,Yeah. I'll wait here.,D'accord. Je vais attendre ici.,Va bene. Aspettero qui.,Gut. Ich warte hier.,Bien. Esperare aqui.,ああ。ここで待ってる。,Certo. Vou esperar aqui.,Хорошо. Я буду ждать здесь.,"好, 我就在这里等着。"
k,가서 너무 무리하진 마라.,Don't push yourself too hard out there.,Ne te surmene pas trop.,Non sforzarti troppo.,Uebertreib es nicht da draussen.,No te esfuerces demasiado.,あまり無茶するなよ。,Nao se esforce demais.,Только не перенапрягайся.,别太勉强自己。
k,너처럼 체질이 특이한 녀석은 몸에 열이라도 오르면 큰일 나니까.,"For someone with a strange constitution like yours, getting a fever could be dangerous.","Pour quelqu'un avec une constitution aussi particuliere que la tienne, une fievre pourrait etre dangereuse.","Per uno con una costituzione strana come la tua, avere la febbre potrebbe essere pericoloso.",Fuer jemanden mit einer seltsamen Konstitution wie deiner koennte Fieber gefaehrlich werden.,"Para alguien con una constitucion tan rara como la tuya, tener fiebre podria ser peligroso.",お前みたいに体質が特殊なやつは、熱が出ると危ないからな。,"Para alguem com uma constituicao estranha como a sua, uma febre pode ser perigosa.","Для человека с такой необычной конституцией, как у тебя, жар может быть опасен.","像你这种体质特殊的家伙, 一旦发烧可就危险了。"
T,**,**,**,**,**,**,**,**,**,**





T,********************************************5. 모그 구조*******************************************
p,모그 할아버지!,Grandpa Mog!,Grand-pere Mog !,Nonno Mog!,Opa Mog!,Abuelo Mog!,モグじいちゃん！,Vovo Mog!,Дедушка Мог!,莫格爷爷！
p,정신 좀 차려보세요!,Please wake up!,Reprenez vos esprits !,Si riprenda!,Kommen Sie zu sich!,!Reaccione!,しっかりしてください！,Tente acordar!,Придите в себя!,快清醒一点！
m,(흙더미 속에서 천천히 눈을 뜨며) ...음? 누구냐.,(Slowly opens his eyes from beneath the dirt) ...Hm? Who is it?,(Ouvre lentement les yeux sous les gravats) ...Hm ? Qui est la ?,(Apre lentamente gli occhi tra le macerie) ...Hmm? Chi va la?,(Offnet langsam die Augen unter dem Schutt) ...Hm? Wer ist da?,(Abre lentamente los ojos entre los escombros) ...Hm? Quien es?,（土の中でゆっくり目を開けながら）...ん？誰じゃ。,(Abre lentamente os olhos em meio aos escombros) ...Hm? Quem e?,(Медленно открывает глаза из-под завалов) ...Хм? Кто это?,（从土堆里慢慢睁开眼睛）……嗯？是谁啊。
m,아... 피코로구만.,Ah... It's Pico.,Ah... C'est Pico.,Ah... E Pico.,Ah... Pico also.,Ah... Es Pico.,おお... ピコか。,Ah... E o Pico.,А... Это Пико.,啊……是皮科啊。
